Unnamed: 0.1,Unnamed: 0,score_phrase,title,url,platform,score,genre,editors_choice,data_lancamento
156,156,Good,Pitfall,/games/pitfall-working-title/iphone-137420,iPhone,7.0,Platformer,N,2012-08-13
157,157,Great,Dust: An Elysian Tail,/games/dust-an-elysian-tail-139696/xbox-360-77719,Xbox 360,8.5,Platformer,N,2012-08-13
158,158,Great,Hybrid,/games/hybrid-140542/xbox-360-37860,Xbox 360,8.0,Shooter,N,2012-08-13
159,159,Mediocre,The Dark Knight Rises,/games/the-dark-knight-rises/iphone-130653,iPhone,5.5,Action,N,2012-08-10
160,160,Good,10000000,/games/10000000/iphone-139135,iPhone,7.5,,N,2012-08-09
161,161,Okay,The Political Machine 2012,/games/the-political-machine-2012/pc-131306,PC,6.5,Strategy,N,2012-08-09
162,162,Amazing,Sound Shapes,/games/sound-shapes-queasy-games/ps3-135578,PlayStation 3,9.0,Platformer,Y,2012-08-08
163,163,Amazing,Sound Shapes,/games/sound-shapes-queasy-games/vita-110145,PlayStation Vita,9.0,Platformer,Y,2012-08-08
164,164,Okay,One Piece: Pirate Warriors,/games/one-piece-pirate-warriors/ps3-116782,PlayStation 3,6.0,Action,N,2012-10-08
165,165,Great,XCOM: Enemy Unknown,/games/xcom-enemy-unknown/ps3-126073,PlayStation 3,8.2,Strategy,N,2012-10-08
166,166,Amazing,Dishonored,/games/dishonored/xbox-360-112932,Xbox 360,9.2,Action,Y,2012-10-07
167,167,Amazing,Dishonored,/games/dishonored/pc-112928,PC,9.2,Action,Y,2012-10-07
168,168,Amazing,Dishonored,/games/dishonored/ps3-112931,PlayStation 3,9.2,Action,Y,2012-10-07
169,169,Good,Angry Birds Trilogy,/games/angry-birds-trilogy/3ds-82424,Nintendo 3DS,7.0,"Puzzle, Action",N,2012-10-06
170,170,Good,Angry Birds Trilogy,/games/angry-birds-trilogy/xbox-360-88826,Xbox 360,7.0,"Puzzle, Action",N,2012-10-06
171,171,Good,Angry Birds Trilogy,/games/angry-birds-trilogy/ps3-135852,PlayStation 3,7.0,"Puzzle, Action",N,2012-10-06
172,172,Great,Girls Like Robots,/games/girls-like-robots/iphone-145093,iPhone,8.5,Puzzle,N,2012-10-19
173,173,Bad,Happy Wars,/games/happy-wars/xbox-360-64840,Xbox 360,4.0,Action,N,2012-10-19
174,174,Bad,007 Legends,/games/007-legends/ps3-132391,PlayStation 3,4.5,Action,N,2012-10-16
175,175,Amazing,Funky Smugglers,/games/funky-smugglers/iphone-145106,iPhone,9.0,Action,Y,2012-10-16
176,176,Okay,Colour Bind,/games/colour-bind/pc-143757,PC,6.2,,N,2012-10-15
177,177,Mediocre,WRC 3 FIA World Rally Championship,/games/wrc-3-fia-world-rally-championship/xbox-360-131357,Xbox 360,5.0,Racing,N,2012-10-15
178,178,Mediocre,WRC 3 FIA World Rally Championship,/games/wrc-3-fia-world-rally-championship/pc-131360,PC,5.0,Racing,N,2012-10-15
179,179,Mediocre,Retro City Rampage,/games/retro-city-rampage/ps3-128971,PlayStation 3,5.3,"Action, Adventure",N,2012-10-15
180,180,Mediocre,Retro City Rampage,/games/retro-city-rampage/pc-129032,PC,5.3,"Action, Adventure",N,2012-10-15
181,181,Great,Dance Central 3,/games/dance-central-3/xbox-360-135601,Xbox 360,8.0,Music,N,2012-10-15
182,182,Mediocre,WRC 3 FIA World Rally Championship,/games/wrc-3-fia-world-rally-championship/ps3-131361,PlayStation 3,5.0,Racing,N,2012-10-15
183,183,Mediocre,Snapshot,/games/snapshot/pc-143174,PC,5.0,Platformer,N,2012-09-17
184,184,Amazing,F1 2012,/games/f1-2012/ps3-130382,PlayStation 3,9.0,Racing,Y,2012-09-17
185,185,Great,Pro Evolution Soccer 2013,/games/pro-evolution-soccer-2013/ps3-133012,PlayStation 3,8.5,Sports,Y,2012-09-17
186,186,Amazing,F1 2012,/games/f1-2012/xbox-360-130379,Xbox 360,9.0,Racing,Y,2012-09-17
187,187,Great,Pro Evolution Soccer 2013,/games/pro-evolution-soccer-2013/pc-133014,PC,8.5,Sports,Y,2012-09-17
188,188,Amazing,Borderlands 2,/games/borderlands-2/xbox-360-94188,Xbox 360,9.0,"Shooter, RPG",Y,2012-09-13
189,189,Amazing,Borderlands 2,/games/borderlands-2/pc-94190,PC,9.0,"Shooter, RPG",Y,2012-09-13
190,190,Great,Joe Danger: The Movie,/games/joe-danger-the-movie/xbox-360-115463,Xbox 360,8.0,Action,N,2012-09-13
191,191,Amazing,Borderlands 2,/games/borderlands-2/ps3-94189,PlayStation 3,9.0,"Shooter, RPG",Y,2012-09-13
192,192,Amazing,Sound Shapes,/games/sound-shapes-queasy-games/ps4-20007461,PlayStation 4,9.0,Platformer,Y,2012-08-08
193,193,Amazing,Persona 4 Arena,/games/persona-4-arena/ps3-116910,PlayStation 3,9.0,Fighting,Y,2012-08-07
194,194,Amazing,Persona 4 Arena,/games/persona-4-arena/xbox-360-116913,Xbox 360,9.0,Fighting,Y,2012-08-07
195,195,Bad,Hell Yeah! Wrath of the Dead Rabbit,/games/hell-yeah-wrath-of-the-dead-rabbit/pc-129413,PC,4.9,Platformer,N,2012-10-04
196,196,Bad,Hell Yeah! Wrath of the Dead Rabbit,/games/hell-yeah-wrath-of-the-dead-rabbit/xbox-360-129412,Xbox 360,4.9,Platformer,N,2012-10-04
197,197,Mediocre,Retro City Rampage,/games/retro-city-rampage/vita-128972,PlayStation Vita,5.3,"Action, Adventure",N,2012-10-15
198,198,Amazing,The Unfinished Swan,/games/the-unfinished-swan/ps3-133433,PlayStation 3,9.0,Puzzle,Y,2012-10-14
199,199,Great,Tokyo Jungle,/games/tokyo-jungle-139049/ps3-85484,PlayStation 3,8.0,Adventure,N,2012-09-13
200,200,Amazing,Halo 4,/games/halo-4/xbox-360-110563,Xbox 360,9.8,Shooter,Y,2012-11-01
201,201,Amazing,Halo 4 (Limited Edition),/games/halo-4/xbox-360-134637,Xbox 360,9.8,Shooter,Y,2012-11-01
202,202,Good,Zone of the Enders HD Collection,/games/zone-of-the-enders-hd-collection/ps3-110049,PlayStation 3,7.0,"Action, Compilation",N,2012-11-01
203,203,Great,Harvest Moon: A New Beginning,/games/harvest-moon-hajimari-no-daichi/3ds-120299,Nintendo 3DS,8.3,Adventure,N,2012-11-01
204,204,Good,Zone of the Enders HD Collection,/games/zone-of-the-enders-hd-collection/xbox-360-110060,Xbox 360,7.0,"Action, Compilation",N,2012-11-01
205,205,Okay,Borderlands Legends,/games/borderlands-legends/iphone-145721,iPhone,6.5,"Action, RPG",N,2012-10-31
206,206,Okay,Borderlands Legends,/games/borderlands-legends/ipad-145832,iPad,6.5,"Action, RPG",N,2012-10-31
207,207,Amazing,Okami HD,/games/okami/ps3-136378,PlayStation 3,9.4,Adventure,Y,2012-10-30
208,208,Mediocre,Ragnarok Odyssey,/games/ragnarok-odyssey/vita-117348,PlayStation Vita,5.0,RPG,N,2012-10-30
209,209,Okay,Need for Speed Most Wanted,/games/need-for-speed-most-wanted-2012/iphone-135825,iPhone,6.9,"Racing, Action",N,2012-10-30
210,210,Good,Pid,/games/pid/xbox-360-124089,Xbox 360,7.8,Platformer,N,2012-10-30
211,211,Good,Pid,/games/pid/pc-124085,PC,7.8,Platformer,N,2012-10-30
212,212,Good,Pid,/games/pid/ps3-124088,PlayStation 3,7.8,Platformer,N,2012-10-30
